#OTUID	taxonomy	confidence
0002e60d9fcb1c75569982c8a3281214	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
0002e7434966f9ab5a73b5492af564c9	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Lycaenidae	0.6
001627d23b1d7f6bc972ee49ccfa26c7	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
00181cd1481098333faae1f9fac7baeb	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
0023469881bf6e8c7b13134e4a9373a1	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
00398dd362ce141392a9eb7d5679d00f	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
004477e4c457601450eb7d234cbad72a	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera	0.55
00567d8ed041a5fa6ef92d6b239b7728	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
009325761606cc3966fc85308d4917f5	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
0095c5c51e4a3ae20988a4ea52e7a001	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
009d2bf579ae244fd78417fca4372b69	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
00a623195a46e5f1d81eee3ef8bccfc3	k__Metazoa;p__Arthropoda;c__Insecta	1.0
00a632e4d17a46d2de2ec34f8253deba	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
00c05cdd71ef6cc8a34370ae4f92bd56	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
00cefbe51deacd880891c2d1184d09fe	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
00e1694492a7624a628c3d3a058316ca	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
00f1142ab935766db31e25bed4b1b132	k__Metazoa;p__Arthropoda;c__Insecta	0.95
00f9bd7c779bdea53d51d54962f2e518	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
00fae4bc658b9001fb57e6d1ca17fa40	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
010f48b49bf1a6308572bb017c5c5971	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
011657327c5118f2e6955cb11c27fe02	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
011ca8da91c296997da6de6899c691ff	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
0145e378bc090a022f95acf2c1a81271	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
014e215ea465a7e0b24bc4138597d2a2	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
01604b322115b3310e9c61af8dad304d	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
0185055cdb80096f339ae901a79ce0bd	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
01895e1bc5749423bdccdf1e6409d024	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
018b9e8ca9f757a919bc2531edda34c8	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
018dd26eed6c8807a9cfb700d9646890	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
0193bb58169b1fd83e6f21666d19c5f3	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
01aa217002f0a319b22a585f7b746491	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
01b738a3e69f4bd2c91a9280b8fcc545	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
01b8c83be6ce1924443328c8a4dc48a6	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
01d7c435e8e688df66c4b5167874e1ee	k__Metazoa;p__Arthropoda;c__Insecta	0.9
01e4a60e34b621a69aa0f56f2df084d1	k__Metazoa;p__Arthropoda;c__Insecta	0.75
01e4ef8778391586284d18a577f72bdf	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
01e8bd4d11d08e466fd756dfd0111699	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.6
01f93de4b02ddddd611aa9f3bfd77d82	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
020ba07eecc040ec3cea41e8623bf4d1	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
02324bfacc65b3277c9344f1ee7b8013	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
0238eeb2fc3eeaaa25821fe6bf3fbd7c	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
02432e0c8d2129b7a735f32e3a2d8ba1	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.65
