"landscape","animal","predator","samples","total_samples","n_species"
"Ayos","bat","Dcas",3,56,6
"Ayos","bat","Dcyc",2,56,6
"Ayos","bat","Hful",10,56,6
"Ayos","bat","Hrub",21,56,6
"Ayos","bat","Nycsp",7,56,6
"Ayos","bat","Ralc",13,56,6
"Ayos","bird","Dcas",2,7,3
"Ayos","bird","Iexi",1,7,3
"Ayos","bird","Tersp",4,7,3
"Bokito","bat","Hful",6,53,5
"Bokito","bat","Hrub",25,53,5
"Bokito","bat","Nycsp",4,53,5
"Bokito","bat","Ralc",17,53,5
"Bokito","bat","Rsim",1,53,5
"Konye","bat","Dcyc",4,47,5
"Konye","bat","Hful",3,47,5
"Konye","bat","Hrub",20,47,5
"Konye","bat","Nycsp",3,47,5
"Konye","bat","Ralc",17,47,5
"Konye","bird","Cbra",3,15,4
"Konye","bird","Dcas",7,15,4
"Konye","bird","Hpra",4,15,4
"Konye","bird","Tersp",1,15,4
