"landscape","animal","predator","samples","total_samples","n_species"
"Ayos","bat","Dcyc",9,58,5
"Ayos","bat","Hful",10,58,5
"Ayos","bat","Hrub",15,58,5
"Ayos","bat","Nycsp",10,58,5
"Ayos","bat","Ralc",14,58,5
"Ayos","bird","Dcas",6,9,3
"Ayos","bird","Hpra",1,9,3
"Ayos","bird","Tersp",2,9,3
"Bokito","bat","Hful",16,74,5
"Bokito","bat","Hrub",24,74,5
"Bokito","bat","Nycsp",8,74,5
"Bokito","bat","Ralc",15,74,5
"Bokito","bat","Rsim",11,74,5
"Konye","bat","Dcyc",5,48,5
"Konye","bat","Hful",5,48,5
"Konye","bat","Hrub",18,48,5
"Konye","bat","Nycsp",7,48,5
"Konye","bat","Ralc",13,48,5
"Konye","bird","Cbra",11,25,5
"Konye","bird","Cniv",1,25,5
"Konye","bird","Dcas",5,25,5
"Konye","bird","Hpra",4,25,5
"Konye","bird","Tersp",4,25,5
